text,intent,clean_text
bisa bantu badan pegal butuh obat,rekomendasi_demam_nyeri,bisa bantu badan pegal butuh obat
ada penurun panas,rekomendasi_demam_nyeri,ada penurun panas
mohon info ada penurun panas,rekomendasi_demam_nyeri,mohon info ada penurun panas
saya ingin tanya ada penurun panas,rekomendasi_demam_nyeri,saya ingin tanya ada penurun panas
bisa bantu ada penurun panas,rekomendasi_demam_nyeri,bisa bantu ada penurun panas
kepala saya pusing ringan,rekomendasi_demam_nyeri,kepala saya pusing ringan
mohon info kepala saya pusing ringan,rekomendasi_demam_nyeri,mohon info kepala saya pusing ringan
saya ingin tanya kepala saya pusing ringan,rekomendasi_demam_nyeri,saya ingin tanya kepala saya pusing ringan
bisa bantu kepala saya pusing ringan,rekomendasi_demam_nyeri,bisa bantu kepala saya pusing ringan
produk untuk nyeri ringan,rekomendasi_demam_nyeri,produk untuk nyeri ringan
mohon info produk untuk nyeri ringan,rekomendasi_demam_nyeri,mohon info produk untuk nyeri ringan
saya ingin tanya produk untuk nyeri ringan,rekomendasi_demam_nyeri,saya ingin tanya produk untuk nyeri ringan
bisa bantu produk untuk nyeri ringan,rekomendasi_demam_nyeri,bisa bantu produk untuk nyeri ringan
rekomendasi untuk sakit kepala ringan,rekomendasi_demam_nyeri,rekomendasi untuk sakit kepala ringan
mohon info rekomendasi untuk sakit kepala ringan,rekomendasi_demam_nyeri,mohon info rekomendasi untuk sakit kepala ringan
saya ingin tanya rekomendasi untuk sakit kepala ringan,rekomendasi_demam_nyeri,saya ingin tanya rekomendasi untuk sakit kepala ringan
bisa bantu rekomendasi untuk sakit kepala ringan,rekomendasi_demam_nyeri,bisa bantu rekomendasi untuk sakit kepala ringan
butuh termometer dan obat demam,rekomendasi_demam_nyeri,butuh termometer dan obat demam
mohon info butuh termometer dan obat demam,rekomendasi_demam_nyeri,mohon info butuh termometer dan obat demam
saya ingin tanya butuh termometer dan obat demam,rekomendasi_demam_nyeri,saya ingin tanya butuh termometer dan obat demam
bisa bantu butuh termometer dan obat demam,rekomendasi_demam_nyeri,bisa bantu butuh termometer dan obat demam
badan panas dan nyeri apa yang tersedia,rekomendasi_demam_nyeri,badan panas dan nyeri apa yang tersedia
mohon info badan panas dan nyeri apa yang tersedia,rekomendasi_demam_nyeri,mohon info badan panas dan nyeri apa yang tersedia
saya ingin tanya badan panas dan nyeri apa yang tersedia,rekomendasi_demam_nyeri,saya ingin tanya badan panas dan nyeri apa yang tersedia
bisa bantu badan panas dan nyeri apa yang tersedia,rekomendasi_demam_nyeri,bisa bantu badan panas dan nyeri apa yang tersedia
vitamin untuk daya tahan tubuh,rekomendasi_vitamin,vitamin untuk daya tahan tubuh
mohon info vitamin untuk daya tahan tubuh,rekomendasi_vitamin,mohon info vitamin untuk daya tahan tubuh
saya ingin tanya vitamin untuk daya tahan tubuh,rekomendasi_vitamin,saya ingin tanya vitamin untuk daya tahan tubuh
bisa bantu vitamin untuk daya tahan tubuh,rekomendasi_vitamin,bisa bantu vitamin untuk daya tahan tubuh
ada multivitamin,rekomendasi_vitamin,ada multivitamin
mohon info ada multivitamin,rekomendasi_vitamin,mohon info ada multivitamin
saya ingin tanya ada multivitamin,rekomendasi_vitamin,saya ingin tanya ada multivitamin
bisa bantu ada multivitamin,rekomendasi_vitamin,bisa bantu ada multivitamin
rekomendasi vitamin c,rekomendasi_vitamin,rekomendasi vitamin c
mohon info rekomendasi vitamin c,rekomendasi_vitamin,mohon info rekomendasi vitamin c
saya ingin tanya rekomendasi vitamin c,rekomendasi_vitamin,saya ingin tanya rekomendasi vitamin c
bisa bantu rekomendasi vitamin c,rekomendasi_vitamin,bisa bantu rekomendasi vitamin c
suplemen agar tidak mudah lelah,rekomendasi_vitamin,suplemen agar tidak mudah lelah
mohon info suplemen agar tidak mudah lelah,rekomendasi_vitamin,mohon info suplemen agar tidak mudah lelah
saya ingin tanya suplemen agar tidak mudah lelah,rekomendasi_vitamin,saya ingin tanya suplemen agar tidak mudah lelah
bisa bantu suplemen agar tidak mudah lelah,rekomendasi_vitamin,bisa bantu suplemen agar tidak mudah lelah
vitamin untuk menjaga kesehatan,rekomendasi_vitamin,vitamin untuk menjaga kesehatan
mohon info vitamin untuk menjaga kesehatan,rekomendasi_vitamin,mohon info vitamin untuk menjaga kesehatan
saya ingin tanya vitamin untuk menjaga kesehatan,rekomendasi_vitamin,saya ingin tanya vitamin untuk menjaga kesehatan
bisa bantu vitamin untuk menjaga kesehatan,rekomendasi_vitamin,bisa bantu vitamin untuk menjaga kesehatan
ada zinc atau multivitamin,rekomendasi_vitamin,ada zinc atau multivitamin
mohon info ada zinc atau multivitamin,rekomendasi_vitamin,mohon info ada zinc atau multivitamin
saya ingin tanya ada zinc atau multivitamin,rekomendasi_vitamin,saya ingin tanya ada zinc atau multivitamin
bisa bantu ada zinc atau multivitamin,rekomendasi_vitamin,bisa bantu ada zinc atau multivitamin
produk untuk imun tubuh,rekomendasi_vitamin,produk untuk imun tubuh
mohon info produk untuk imun tubuh,rekomendasi_vitamin,mohon info produk untuk imun tubuh
saya ingin tanya produk untuk imun tubuh,rekomendasi_vitamin,saya ingin tanya produk untuk imun tubuh
bisa bantu produk untuk imun tubuh,rekomendasi_vitamin,bisa bantu produk untuk imun tubuh
vitamin harian apa yang tersedia,rekomendasi_vitamin,vitamin harian apa yang tersedia
mohon info vitamin harian apa yang tersedia,rekomendasi_vitamin,mohon info vitamin harian apa yang tersedia
saya ingin tanya vitamin harian apa yang tersedia,rekomendasi_vitamin,saya ingin tanya vitamin harian apa yang tersedia
bisa bantu vitamin harian apa yang tersedia,rekomendasi_vitamin,bisa bantu vitamin harian apa yang tersedia
apakah ada obat maag,rekomendasi_pencernaan,apakah ada obat maag
mohon info apakah ada obat maag,rekomendasi_pencernaan,mohon info apakah ada obat maag
saya ingin tanya apakah ada obat maag,rekomendasi_pencernaan,saya ingin tanya apakah ada obat maag
bisa bantu apakah ada obat maag,rekomendasi_pencernaan,bisa bantu apakah ada obat maag
perut saya kembung,rekomendasi_pencernaan,perut saya kembung
mohon info perut saya kembung,rekomendasi_pencernaan,mohon info perut saya kembung
saya ingin tanya perut saya kembung,rekomendasi_pencernaan,saya ingin tanya perut saya kembung
bisa bantu perut saya kembung,rekomendasi_pencernaan,bisa bantu perut saya kembung
ada oralit untuk diare,rekomendasi_pencernaan,ada oralit untuk diare
mohon info ada oralit untuk diare,rekomendasi_pencernaan,mohon info ada oralit untuk diare
saya ingin tanya ada oralit untuk diare,rekomendasi_pencernaan,saya ingin tanya ada oralit untuk diare
bisa bantu ada oralit untuk diare,rekomendasi_pencernaan,bisa bantu ada oralit untuk diare
produk untuk lambung ringan,rekomendasi_pencernaan,produk untuk lambung ringan
mohon info produk untuk lambung ringan,rekomendasi_pencernaan,mohon info produk untuk lambung ringan
saya ingin tanya produk untuk lambung ringan,rekomendasi_pencernaan,saya ingin tanya produk untuk lambung ringan
bisa bantu produk untuk lambung ringan,rekomendasi_pencernaan,bisa bantu produk untuk lambung ringan
rekomendasi untuk diare ringan,rekomendasi_pencernaan,rekomendasi untuk diare ringan
mohon info rekomendasi untuk diare ringan,rekomendasi_pencernaan,mohon info rekomendasi untuk diare ringan
saya ingin tanya rekomendasi untuk diare ringan,rekomendasi_pencernaan,saya ingin tanya rekomendasi untuk diare ringan
bisa bantu rekomendasi untuk diare ringan,rekomendasi_pencernaan,bisa bantu rekomendasi untuk diare ringan
saya mual dan maag ringan,rekomendasi_pencernaan,saya mual dan maag ringan
mohon info saya mual dan maag ringan,rekomendasi_pencernaan,mohon info saya mual dan maag ringan
saya ingin tanya saya mual dan maag ringan,rekomendasi_pencernaan,saya ingin tanya saya mual dan maag ringan
bisa bantu saya mual dan maag ringan,rekomendasi_pencernaan,bisa bantu saya mual dan maag ringan
ada antasida tidak,rekomendasi_pencernaan,ada antasida tidak
mohon info ada antasida tidak,rekomendasi_pencernaan,mohon info ada antasida tidak
saya ingin tanya ada antasida tidak,rekomendasi_pencernaan,saya ingin tanya ada antasida tidak
bisa bantu ada antasida tidak,rekomendasi_pencernaan,bisa bantu ada antasida tidak
butuh produk pencernaan ringan,rekomendasi_pencernaan,butuh produk pencernaan ringan
mohon info butuh produk pencernaan ringan,rekomendasi_pencernaan,mohon info butuh produk pencernaan ringan
saya ingin tanya butuh produk pencernaan ringan,rekomendasi_pencernaan,saya ingin tanya butuh produk pencernaan ringan
bisa bantu butuh produk pencernaan ringan,rekomendasi_pencernaan,bisa bantu butuh produk pencernaan ringan
ada termometer,rekomendasi_alat_kesehatan,ada termometer
mohon info ada termometer,rekomendasi_alat_kesehatan,mohon info ada termometer
saya ingin tanya ada termometer,rekomendasi_alat_kesehatan,saya ingin tanya ada termometer
bisa bantu ada termometer,rekomendasi_alat_kesehatan,bisa bantu ada termometer
butuh alat cek gula darah,rekomendasi_alat_kesehatan,butuh alat cek gula darah
mohon info butuh alat cek gula darah,rekomendasi_alat_kesehatan,mohon info butuh alat cek gula darah
saya ingin tanya butuh alat cek gula darah,rekomendasi_alat_kesehatan,saya ingin tanya butuh alat cek gula darah
bisa bantu butuh alat cek gula darah,rekomendasi_alat_kesehatan,bisa bantu butuh alat cek gula darah
jual masker medis,rekomendasi_alat_kesehatan,jual masker medis
mohon info jual masker medis,rekomendasi_alat_kesehatan,mohon info jual masker medis
saya ingin tanya jual masker medis,rekomendasi_alat_kesehatan,saya ingin tanya jual masker medis
bisa bantu jual masker medis,rekomendasi_alat_kesehatan,bisa bantu jual masker medis
apakah ada hand sanitizer,rekomendasi_alat_kesehatan,apakah ada hand sanitizer
mohon info apakah ada hand sanitizer,rekomendasi_alat_kesehatan,mohon info apakah ada hand sanitizer
saya ingin tanya apakah ada hand sanitizer,rekomendasi_alat_kesehatan,saya ingin tanya apakah ada hand sanitizer
bisa bantu apakah ada hand sanitizer,rekomendasi_alat_kesehatan,bisa bantu apakah ada hand sanitizer
ada tensimeter tidak,rekomendasi_alat_kesehatan,ada tensimeter tidak
mohon info ada tensimeter tidak,rekomendasi_alat_kesehatan,mohon info ada tensimeter tidak
saya ingin tanya ada tensimeter tidak,rekomendasi_alat_kesehatan,saya ingin tanya ada tensimeter tidak
bisa bantu ada tensimeter tidak,rekomendasi_alat_kesehatan,bisa bantu ada tensimeter tidak
alat kesehatan ringan apa saja,rekomendasi_alat_kesehatan,alat kesehatan ringan apa saja
mohon info alat kesehatan ringan apa saja,rekomendasi_alat_kesehatan,mohon info alat kesehatan ringan apa saja
saya ingin tanya alat kesehatan ringan apa saja,rekomendasi_alat_kesehatan,saya ingin tanya alat kesehatan ringan apa saja
bisa bantu alat kesehatan ringan apa saja,rekomendasi_alat_kesehatan,bisa bantu alat kesehatan ringan apa saja
butuh strip gula darah,rekomendasi_alat_kesehatan,butuh strip gula darah
mohon info butuh strip gula darah,rekomendasi_alat_kesehatan,mohon info butuh strip gula darah
saya ingin tanya butuh strip gula darah,rekomendasi_alat_kesehatan,saya ingin tanya butuh strip gula darah
bisa bantu butuh strip gula darah,rekomendasi_alat_kesehatan,bisa bantu butuh strip gula darah
jual alat cek suhu tubuh,rekomendasi_alat_kesehatan,jual alat cek suhu tubuh
mohon info jual alat cek suhu tubuh,rekomendasi_alat_kesehatan,mohon info jual alat cek suhu tubuh
saya ingin tanya jual alat cek suhu tubuh,rekomendasi_alat_kesehatan,saya ingin tanya jual alat cek suhu tubuh
bisa bantu jual alat cek suhu tubuh,rekomendasi_alat_kesehatan,bisa bantu jual alat cek suhu tubuh
apakah tersedia produk bayi,rekomendasi_produk_bayi,apakah tersedia produk bayi
mohon info apakah tersedia produk bayi,rekomendasi_produk_bayi,mohon info apakah tersedia produk bayi
saya ingin tanya apakah tersedia produk bayi,rekomendasi_produk_bayi,saya ingin tanya apakah tersedia produk bayi
bisa bantu apakah tersedia produk bayi,rekomendasi_produk_bayi,bisa bantu apakah tersedia produk bayi
ada minyak telon,rekomendasi_produk_bayi,ada minyak telon
mohon info ada minyak telon,rekomendasi_produk_bayi,mohon info ada minyak telon
saya ingin tanya ada minyak telon,rekomendasi_produk_bayi,saya ingin tanya ada minyak telon
bisa bantu ada minyak telon,rekomendasi_produk_bayi,bisa bantu ada minyak telon
jual popok bayi tidak,rekomendasi_produk_bayi,jual popok bayi tidak
mohon info jual popok bayi tidak,rekomendasi_produk_bayi,mohon info jual popok bayi tidak
saya ingin tanya jual popok bayi tidak,rekomendasi_produk_bayi,saya ingin tanya jual popok bayi tidak
bisa bantu jual popok bayi tidak,rekomendasi_produk_bayi,bisa bantu jual popok bayi tidak
produk perawatan bayi apa saja,rekomendasi_produk_bayi,produk perawatan bayi apa saja
mohon info produk perawatan bayi apa saja,rekomendasi_produk_bayi,mohon info produk perawatan bayi apa saja
saya ingin tanya produk perawatan bayi apa saja,rekomendasi_produk_bayi,saya ingin tanya produk perawatan bayi apa saja
bisa bantu produk perawatan bayi apa saja,rekomendasi_produk_bayi,bisa bantu produk perawatan bayi apa saja
ada tisu basah bayi,rekomendasi_produk_bayi,ada tisu basah bayi
mohon info ada tisu basah bayi,rekomendasi_produk_bayi,mohon info ada tisu basah bayi
saya ingin tanya ada tisu basah bayi,rekomendasi_produk_bayi,saya ingin tanya ada tisu basah bayi
bisa bantu ada tisu basah bayi,rekomendasi_produk_bayi,bisa bantu ada tisu basah bayi
butuh perlengkapan bayi,rekomendasi_produk_bayi,butuh perlengkapan bayi
mohon info butuh perlengkapan bayi,rekomendasi_produk_bayi,mohon info butuh perlengkapan bayi
saya ingin tanya butuh perlengkapan bayi,rekomendasi_produk_bayi,saya ingin tanya butuh perlengkapan bayi
bisa bantu butuh perlengkapan bayi,rekomendasi_produk_bayi,bisa bantu butuh perlengkapan bayi
apakah ada produk bayi non obat,rekomendasi_produk_bayi,apakah ada produk bayi non obat
mohon info apakah ada produk bayi non obat,rekomendasi_produk_bayi,mohon info apakah ada produk bayi non obat
saya ingin tanya apakah ada produk bayi non obat,rekomendasi_produk_bayi,saya ingin tanya apakah ada produk bayi non obat
bisa bantu apakah ada produk bayi non obat,rekomendasi_produk_bayi,bisa bantu apakah ada produk bayi non obat
saya cari minyak telon bayi,rekomendasi_produk_bayi,saya cari minyak telon bayi
mohon info saya cari minyak telon bayi,rekomendasi_produk_bayi,mohon info saya cari minyak telon bayi
saya ingin tanya saya cari minyak telon bayi,rekomendasi_produk_bayi,saya ingin tanya saya cari minyak telon bayi
bisa bantu saya cari minyak telon bayi,rekomendasi_produk_bayi,bisa bantu saya cari minyak telon bayi
ada plester luka,rekomendasi_perawatan_luka,ada plester luka
mohon info ada plester luka,rekomendasi_perawatan_luka,mohon info ada plester luka
saya ingin tanya ada plester luka,rekomendasi_perawatan_luka,saya ingin tanya ada plester luka
bisa bantu ada plester luka,rekomendasi_perawatan_luka,bisa bantu ada plester luka
butuh kasa steril,rekomendasi_perawatan_luka,butuh kasa steril
mohon info butuh kasa steril,rekomendasi_perawatan_luka,mohon info butuh kasa steril
saya ingin tanya butuh kasa steril,rekomendasi_perawatan_luka,saya ingin tanya butuh kasa steril
bisa bantu butuh kasa steril,rekomendasi_perawatan_luka,bisa bantu butuh kasa steril
apakah ada antiseptik luar,rekomendasi_perawatan_luka,apakah ada antiseptik luar
mohon info apakah ada antiseptik luar,rekomendasi_perawatan_luka,mohon info apakah ada antiseptik luar
saya ingin tanya apakah ada antiseptik luar,rekomendasi_perawatan_luka,saya ingin tanya apakah ada antiseptik luar
bisa bantu apakah ada antiseptik luar,rekomendasi_perawatan_luka,bisa bantu apakah ada antiseptik luar
produk untuk luka ringan,rekomendasi_perawatan_luka,produk untuk luka ringan
mohon info produk untuk luka ringan,rekomendasi_perawatan_luka,mohon info produk untuk luka ringan
saya ingin tanya produk untuk luka ringan,rekomendasi_perawatan_luka,saya ingin tanya produk untuk luka ringan
bisa bantu produk untuk luka ringan,rekomendasi_perawatan_luka,bisa bantu produk untuk luka ringan
ada kapas dan plester,rekomendasi_perawatan_luka,ada kapas dan plester
mohon info ada kapas dan plester,rekomendasi_perawatan_luka,mohon info ada kapas dan plester
saya ingin tanya ada kapas dan plester,rekomendasi_perawatan_luka,saya ingin tanya ada kapas dan plester
bisa bantu ada kapas dan plester,rekomendasi_perawatan_luka,bisa bantu ada kapas dan plester
perawatan luka kecil pakai apa,rekomendasi_perawatan_luka,perawatan luka kecil pakai apa
mohon info perawatan luka kecil pakai apa,rekomendasi_perawatan_luka,mohon info perawatan luka kecil pakai apa
saya ingin tanya perawatan luka kecil pakai apa,rekomendasi_perawatan_luka,saya ingin tanya perawatan luka kecil pakai apa
bisa bantu perawatan luka kecil pakai apa,rekomendasi_perawatan_luka,bisa bantu perawatan luka kecil pakai apa
saya butuh perlengkapan luka ringan,rekomendasi_perawatan_luka,saya butuh perlengkapan luka ringan
mohon info saya butuh perlengkapan luka ringan,rekomendasi_perawatan_luka,mohon info saya butuh perlengkapan luka ringan
saya ingin tanya saya butuh perlengkapan luka ringan,rekomendasi_perawatan_luka,saya ingin tanya saya butuh perlengkapan luka ringan
bisa bantu saya butuh perlengkapan luka ringan,rekomendasi_perawatan_luka,bisa bantu saya butuh perlengkapan luka ringan
jual obat luar untuk luka ringan,rekomendasi_perawatan_luka,jual obat luar untuk luka ringan
mohon info jual obat luar untuk luka ringan,rekomendasi_perawatan_luka,mohon info jual obat luar untuk luka ringan
saya ingin tanya jual obat luar untuk luka ringan,rekomendasi_perawatan_luka,saya ingin tanya jual obat luar untuk luka ringan
bisa bantu jual obat luar untuk luka ringan,rekomendasi_perawatan_luka,bisa bantu jual obat luar untuk luka ringan
apakah ada promo produk kesehatan,info_promo,apakah ada promo produk kesehatan
mohon info apakah ada promo produk kesehatan,info_promo,mohon info apakah ada promo produk kesehatan
saya ingin tanya apakah ada promo produk kesehatan,info_promo,saya ingin tanya apakah ada promo produk kesehatan
bisa bantu apakah ada promo produk kesehatan,info_promo,bisa bantu apakah ada promo produk kesehatan
promo vitamin ada tidak,info_promo,promo vitamin ada tidak
mohon info promo vitamin ada tidak,info_promo,mohon info promo vitamin ada tidak
saya ingin tanya promo vitamin ada tidak,info_promo,saya ingin tanya promo vitamin ada tidak
bisa bantu promo vitamin ada tidak,info_promo,bisa bantu promo vitamin ada tidak
diskon produk apotek apa saja,info_promo,diskon produk apotek apa saja
mohon info diskon produk apotek apa saja,info_promo,mohon info diskon produk apotek apa saja
saya ingin tanya diskon produk apotek apa saja,info_promo,saya ingin tanya diskon produk apotek apa saja
bisa bantu diskon produk apotek apa saja,info_promo,bisa bantu diskon produk apotek apa saja
ada promo hari ini,info_promo,ada promo hari ini
mohon info ada promo hari ini,info_promo,mohon info ada promo hari ini
saya ingin tanya ada promo hari ini,info_promo,saya ingin tanya ada promo hari ini
bisa bantu ada promo hari ini,info_promo,bisa bantu ada promo hari ini
produk kesehatan yang sedang promo,info_promo,produk kesehatan yang sedang promo
mohon info produk kesehatan yang sedang promo,info_promo,mohon info produk kesehatan yang sedang promo
saya ingin tanya produk kesehatan yang sedang promo,info_promo,saya ingin tanya produk kesehatan yang sedang promo
bisa bantu produk kesehatan yang sedang promo,info_promo,bisa bantu produk kesehatan yang sedang promo
apakah ada potongan harga,info_promo,apakah ada potongan harga
mohon info apakah ada potongan harga,info_promo,mohon info apakah ada potongan harga
saya ingin tanya apakah ada potongan harga,info_promo,saya ingin tanya apakah ada potongan harga
bisa bantu apakah ada potongan harga,info_promo,bisa bantu apakah ada potongan harga
promo masker dan vitamin,info_promo,promo masker dan vitamin
mohon info promo masker dan vitamin,info_promo,mohon info promo masker dan vitamin
saya ingin tanya promo masker dan vitamin,info_promo,saya ingin tanya promo masker dan vitamin
bisa bantu promo masker dan vitamin,info_promo,bisa bantu promo masker dan vitamin
informasi promo apotekcare,info_promo,informasi promo apotekcare
mohon info informasi promo apotekcare,info_promo,mohon info informasi promo apotekcare
saya ingin tanya informasi promo apotekcare,info_promo,saya ingin tanya informasi promo apotekcare
bisa bantu informasi promo apotekcare,info_promo,bisa bantu informasi promo apotekcare
apakah chatbot bisa diagnosis,batasan_medis,apakah chatbot bisa diagnosis
mohon info apakah chatbot bisa diagnosis,batasan_medis,mohon info apakah chatbot bisa diagnosis
saya ingin tanya apakah chatbot bisa diagnosis,batasan_medis,saya ingin tanya apakah chatbot bisa diagnosis
bisa bantu apakah chatbot bisa diagnosis,batasan_medis,bisa bantu apakah chatbot bisa diagnosis
saya ingin antibiotik tanpa resep,batasan_medis,saya ingin antibiotik tanpa resep
mohon info saya ingin antibiotik tanpa resep,batasan_medis,mohon info saya ingin antibiotik tanpa resep
saya ingin tanya saya ingin antibiotik tanpa resep,batasan_medis,saya ingin tanya saya ingin antibiotik tanpa resep
bisa bantu saya ingin antibiotik tanpa resep,batasan_medis,bisa bantu saya ingin antibiotik tanpa resep
boleh minta obat keras,batasan_medis,boleh minta obat keras
mohon info boleh minta obat keras,batasan_medis,mohon info boleh minta obat keras
saya ingin tanya boleh minta obat keras,batasan_medis,saya ingin tanya boleh minta obat keras
bisa bantu boleh minta obat keras,batasan_medis,bisa bantu boleh minta obat keras
bisa menentukan penyakit saya,batasan_medis,bisa menentukan penyakit saya
mohon info bisa menentukan penyakit saya,batasan_medis,mohon info bisa menentukan penyakit saya
saya ingin tanya bisa menentukan penyakit saya,batasan_medis,saya ingin tanya bisa menentukan penyakit saya
bisa bantu bisa menentukan penyakit saya,batasan_medis,bisa bantu bisa menentukan penyakit saya
obat resep tanpa dokter bisa tidak,batasan_medis,obat resep tanpa dokter bisa tidak
mohon info obat resep tanpa dokter bisa tidak,batasan_medis,mohon info obat resep tanpa dokter bisa tidak
saya ingin tanya obat resep tanpa dokter bisa tidak,batasan_medis,saya ingin tanya obat resep tanpa dokter bisa tidak
bisa bantu obat resep tanpa dokter bisa tidak,batasan_medis,bisa bantu obat resep tanpa dokter bisa tidak
tolong tentukan penyakit saya,batasan_medis,tolong tentukan penyakit saya
mohon info tolong tentukan penyakit saya,batasan_medis,mohon info tolong tentukan penyakit saya
saya ingin tanya tolong tentukan penyakit saya,batasan_medis,saya ingin tanya tolong tentukan penyakit saya
bisa bantu tolong tentukan penyakit saya,batasan_medis,bisa bantu tolong tentukan penyakit saya
saya hamil boleh minum obat apa,batasan_medis,saya hamil boleh minum obat apa
mohon info saya hamil boleh minum obat apa,batasan_medis,mohon info saya hamil boleh minum obat apa
saya ingin tanya saya hamil boleh minum obat apa,batasan_medis,saya ingin tanya saya hamil boleh minum obat apa
bisa bantu saya hamil boleh minum obat apa,batasan_medis,bisa bantu saya hamil boleh minum obat apa
anak bayi saya sakit obat apa,batasan_medis,anak bayi saya sakit obat apa
mohon info anak bayi saya sakit obat apa,batasan_medis,mohon info anak bayi saya sakit obat apa
saya ingin tanya anak bayi saya sakit obat apa,batasan_medis,saya ingin tanya anak bayi saya sakit obat apa
bisa bantu anak bayi saya sakit obat apa,batasan_medis,bisa bantu anak bayi saya sakit obat apa
siapa presiden indonesia,out_of_scope,siapa presiden indonesia
saya ingin tahu siapa presiden indonesia,out_of_scope,saya ingin tahu siapa presiden indonesia
tolong bantu siapa presiden indonesia,out_of_scope,tolong bantu siapa presiden indonesia
tolong buatkan puisi cinta,out_of_scope,tolong buatkan puisi cinta
saya ingin tahu tolong buatkan puisi cinta,out_of_scope,saya ingin tahu tolong buatkan puisi cinta
tolong bantu tolong buatkan puisi cinta,out_of_scope,tolong bantu tolong buatkan puisi cinta
bagaimana cara membuat website,out_of_scope,bagaimana cara membuat website
saya ingin tahu bagaimana cara membuat website,out_of_scope,saya ingin tahu bagaimana cara membuat website
tolong bantu bagaimana cara membuat website,out_of_scope,tolong bantu bagaimana cara membuat website
rekomendasi laptop gaming apa,out_of_scope,rekomendasi laptop gaming apa
saya ingin tahu rekomendasi laptop gaming apa,out_of_scope,saya ingin tahu rekomendasi laptop gaming apa
tolong bantu rekomendasi laptop gaming apa,out_of_scope,tolong bantu rekomendasi laptop gaming apa
berapa harga emas hari ini,out_of_scope,berapa harga emas hari ini
saya ingin tahu berapa harga emas hari ini,out_of_scope,saya ingin tahu berapa harga emas hari ini
tolong bantu berapa harga emas hari ini,out_of_scope,tolong bantu berapa harga emas hari ini
apa rumus regresi linear,out_of_scope,apa rumus regresi linear
saya ingin tahu apa rumus regresi linear,out_of_scope,saya ingin tahu apa rumus regresi linear
tolong bantu apa rumus regresi linear,out_of_scope,tolong bantu apa rumus regresi linear
cara setting router bagaimana,out_of_scope,cara setting router bagaimana
saya ingin tahu cara setting router bagaimana,out_of_scope,saya ingin tahu cara setting router bagaimana
tolong bantu cara setting router bagaimana,out_of_scope,tolong bantu cara setting router bagaimana
tolong prediksi saham besok,out_of_scope,tolong prediksi saham besok
saya ingin tahu tolong prediksi saham besok,out_of_scope,saya ingin tahu tolong prediksi saham besok
tolong bantu tolong prediksi saham besok,out_of_scope,tolong bantu tolong prediksi saham besok
